replicate,instance,group,result
4,7,2,24.6002860611986 
7,22,1,883.613450506987 
2,24,2,0.30023963868806 
4,8,2,21.7236590491435 
3,7,1,529323.640618173 
1,12,1,62486.8985100389 
2,25,2,0.338806719450334 
5,11,1,95816.1107541356 
4,9,2,30.2165745371465 
7,23,1,949.827824699239 
2,26,2,1.68132172866663 
6,8,1,427520.015771153 
2,27,2,0.121921056730786 
4,10,2,26.1232217563454 
2,28,2,0.633035309468961 
7,24,1,875.604434279432 
4,11,2,23.1490894187991 
2,29,2,0.648466139615709 
1,13,1,61942.4539098267 
4,12,2,31.240842923791 
2,30,2,0.154059549442556 
5,12,1,96997.0602160616 
7,25,1,700.723436602499 
4,13,2,34.9180317522319 
3,8,1,549785.61600679 
4,14,2,21.6445373725114 
7,26,1,889.902864249295 
6,9,1,361795.788102452 
1,14,1,45721.4156988083 
4,15,2,19.9796317183965 
5,13,1,94837.3049307381 
7,27,1,813.960109023052 
4,16,2,34.1486544369953 
4,17,2,21.1994977747223 
7,28,1,709.036640560767 
1,15,1,62554.5915659869 
4,18,2,38.7976081942226 
4,19,2,30.1388411354895 
3,9,1,572771.017122344 
6,10,1,416278.148019089 
5,14,1,78278.6767831188 
7,29,1,968.347382399815 
4,20,2,24.1566928261656 
4,21,2,26.4385666932238 
7,30,1,933.956529464932 
1,16,1,54464.7065016442 
4,22,2,23.9957431855942 
5,15,1,61092.2572290368 
7,1,2,958.192766307015 
4,23,2,26.9896437244983 
4,24,2,25.9668271249592 
6,11,1,358821.575041755 
1,17,1,64462.9351950199 
7,2,2,879.617502292007 
3,10,1,544504.717849569 
4,25,2,25.74172440412 
4,26,2,36.7069276761574 
7,3,2,676.293555041647 
5,16,1,88052.5103834199 
4,27,2,30.7387814668683 
1,18,1,57822.0598200528 
7,4,2,860.684439693992 
4,28,2,26.426268135804 
6,12,1,340782.732374381 
4,29,2,34.8204694583 
7,5,2,1024.03597162569 
5,17,1,85284.477161895 
3,11,1,633938.095008275 
4,30,2,23.0649787743632 
1,19,1,60435.6260893285 
7,6,2,769.675165985921 
7,7,2,912.343417016809 
5,18,1,100701.051787713 
1,20,1,72901.9728297395 
6,13,1,440281.797090282 
7,8,2,667.105288934437 
3,12,1,596181.855281311 
7,9,2,740.267903323659 
5,19,1,86546.9832664351 
1,21,1,67179.5502287592 
7,10,2,1020.6395323882 
6,14,1,373577.558785669 
7,11,2,836.66634387207 
5,20,1,98131.1734481084 
1,22,1,67535.8288808843 
3,13,1,611682.219456726 
7,12,2,789.528340996405 
7,13,2,916.185897409811 
1,23,1,44302.6765201418 
5,21,1,84355.361942477 
6,15,1,386120.1592597 
7,14,2,938.785578220937 
7,15,2,748.186023041842 
1,24,1,53989.8057018911 
3,14,1,599123.564301321 
5,22,1,88120.1933125501 
7,16,2,926.536483212577 
6,16,1,386795.153098457 
1,25,1,56412.7434911483 
7,17,2,906.824911017325 
5,23,1,86695.2234088171 
7,18,2,1086.83085713626 
3,15,1,576876.708331912 
1,26,1,58754.2652868729 
7,19,2,932.131010203601 
6,17,1,324167.657551085 
5,24,1,85264.1583572344 
7,20,2,458.232312216632 
1,27,1,58326.4556597951 
7,21,2,956.326600456064 
5,25,1,87325.3502370217 
3,16,1,543589.375807295 
7,22,2,857.884093178493 
6,18,1,434438.674757389 
1,28,1,53982.3111290595 
7,23,2,595.714325772721 
5,26,1,91613.4717658208 
7,24,2,890.634398485622 
1,29,1,62482.5297637055 
3,17,1,558013.879746835 
7,25,2,785.330128592633 
6,19,1,403230.90938698 
5,27,1,102806.406752958 
7,26,2,954.051453939166 
1,30,1,61827.678451658 
7,27,2,804.839313888399 
5,28,1,76279.5762415296 
3,18,1,543210.034962632 
7,28,2,830.07497442889 
6,20,1,399218.659492024 
1,1,2,40406.1289092028 
7,29,2,782.838451631298 
5,29,1,66732.4996563913 
1,2,2,56503.9083662029 
7,30,2,914.075208817673 
6,21,1,407660.616256189 
3,19,1,536631.649476654 
5,30,1,73887.1321433289 
1,3,2,44547.8122696221 
1,4,2,60795.8365857437 
5,1,2,88474.5689284164 
6,22,1,430945.888689052 
3,20,1,584376.323043505 
1,5,2,56163.8514003028 
5,2,2,102973.872767357 
6,23,1,404043.625178397 
1,6,2,51007.9249476963 
3,21,1,543853.617664717 
5,3,2,85689.3868995608 
1,7,2,59505.8975022977 
6,24,1,405270.406266315 
5,4,2,102149.782909123 
3,22,1,474922.514730971 
1,8,2,61732.5629390594 
5,5,2,101209.77895746 
6,25,1,319683.68608791 
1,9,2,48354.253157255 
5,6,2,83995.721282525 
3,23,1,508449.818986429 
1,10,2,47822.2761024779 
6,26,1,407991.792534197 
5,7,2,88683.034747582 
1,11,2,48446.8708785896 
3,24,1,555035.679908794 
5,8,2,79949.1461008824 
6,27,1,383519.969580783 
1,12,2,59604.5282006561 
5,9,2,81272.1516661744 
1,13,2,47162.0628399606 
3,25,1,571572.196218123 
6,28,1,411076.618165273 
5,10,2,94742.0956986424 
1,14,2,54603.4645505934 
3,26,1,495064.945526385 
1,15,2,52021.3442942937 
5,11,2,100481.699419435 
6,29,1,389933.806568279 
1,16,2,54302.5995754879 
5,12,2,99396.6216445754 
3,27,1,570758.896850445 
6,30,1,417465.31891507 
1,17,2,50606.114525648 
5,13,2,107154.970506843 
1,18,2,55558.4062742451 
6,1,2,435267.954807965 
3,28,1,510340.015146804 
5,14,2,86593.2344701954 
1,19,2,52046.1618672243 
5,15,2,89435.1661244066 
6,2,2,358183.199172171 
1,20,2,50200.2070150695 
3,29,1,555514.436510644 
5,16,2,99367.9255903889 
1,21,2,57710.4052533739 
6,3,2,347455.335958973 
5,17,2,98856.7769392381 
3,30,1,607342.003213947 
1,22,2,62128.8668313266 
5,18,2,104308.307729936 
6,4,2,411296.716708262 
1,23,2,51111.8701416696 
3,1,2,542170.020158127 
5,19,2,83604.8801954611 
1,24,2,40249.4472731508 
6,5,2,371361.690816751 
5,20,2,85353.5086210572 
1,25,2,50158.6727874043 
3,2,2,546128.46127807 
6,6,2,358559.893135821 
1,26,2,52573.7155424695 
5,21,2,80288.1859339819 
3,3,2,461115.893111921 
1,27,2,59028.8997674137 
5,22,2,92312.808727386 
6,7,2,417821.83358849 
1,28,2,69601.4799202022 
5,23,2,96069.8066383847 
3,4,2,496023.526401909 
1,29,2,35624.8941726452 
6,8,2,408919.12357149 
5,24,2,91612.4886121515 
1,30,2,43744.1327316712 
5,25,2,84859.3687882762 
3,5,2,586886.496812161 
6,9,2,325450.72395679 
5,26,2,91281.2947628643 
3,6,2,606514.161018417 
6,10,2,394853.680179653 
5,27,2,94021.9980959347 
5,28,2,74952.5836966111 
6,11,2,344129.743352959 
3,7,2,553670.925259359 
5,29,2,82851.712728216 
6,12,2,445693.960638912 
3,8,2,503859.987826878 
5,30,2,75084.9540965427 
6,13,2,435332.964826075 
3,9,2,556235.862314459 
6,14,2,356671.232229167 
3,10,2,569014.239066542 
6,15,2,394304.822362068 
3,11,2,566728.476883694 
6,16,2,294840.471957804 
3,12,2,548151.816242032 
6,17,2,424400.028356598 
3,13,2,540347.929273446 
6,18,2,446052.426995986 
3,14,2,570593.780289784 
6,19,2,353449.151953981 
3,15,2,592444.985357621 
6,20,2,391964.001126846 
6,21,2,385021.913542643 
3,16,2,620129.607707445 
6,22,2,381963.208804131 
3,17,2,642578.487848292 
6,23,2,348953.608253929 
3,18,2,549857.293491837 
6,24,2,416366.739433392 
3,19,2,615889.878939331 
6,25,2,385582.150335898 
3,20,2,590907.987362291 
6,26,2,372399.852062605 
3,21,2,571271.151372886 
6,27,2,389268.854719285 
3,22,2,473949.983346268 
6,28,2,408766.613261727 
3,23,2,576634.970008729 
6,29,2,378287.300766823 
6,30,2,336210.400570332 
3,24,2,616144.015773317 
3,25,2,499553.617965279 
3,26,2,471282.66757398 
3,27,2,566491.651826477 
3,28,2,495696.46257896 
3,29,2,484101.945885155 
3,30,2,537138.658277113 
15,1,1,305.727543774915 
10,1,1,2055.00917908899 
12,1,1,4404.51096756239 
13,1,1,9609.95894321951 
8,1,1,21297.73741335 
15,2,1,322.731464590939 
10,2,1,1985.73489763916 
12,2,1,4211.46832889318 
15,3,1,290.57604508585 
11,1,1,240860.757451078 
13,2,1,13998.253455572 
9,1,1,538639.717512693 
8,2,1,26064.3301557373 
15,4,1,298.450922585789 
10,3,1,2595.46376854372 
14,1,1,669332.9453879 
12,3,1,3159.9746850398 
13,3,1,7308.28825670685 
15,5,1,278.237872380159 
10,4,1,2546.3075474449 
8,3,1,25465.6466740069 
12,4,1,4282.02601082165 
15,6,1,296.914165499857 
